"","race_ethnicity","ward","count"
"1","asian","ward_29_race",32
"2","asian","ward_35_race",525
"3","black","ward_29_race",1843
"4","black","ward_35_race",337
"5","latino","ward_29_race",500
"6","latino","ward_35_race",6357
"7","other","ward_29_race",23
"8","other","ward_35_race",131
"9","white","ward_29_race",495
"10","white","ward_35_race",2013
